epoch,train_loss,val_loss,train_acc,val_acc,val_bal_acc,lr
1,1.204687,1.100186,37.69,42.86,30.77,0.00050000
2,1.181362,1.146232,40.00,46.43,33.33,0.00049693
3,1.176688,1.192355,33.85,28.57,37.04,0.00048779
4,1.118265,1.126071,43.85,50.00,41.60,0.00047281
5,1.174750,1.102924,44.62,39.29,29.34,0.00045235
6,1.112402,1.098227,45.38,39.29,31.20,0.00042692
7,1.138158,1.116989,43.08,46.43,33.33,0.00039715
8,1.144874,1.100955,41.54,46.43,34.47,0.00036377
9,1.113873,1.095153,40.77,50.00,37.04,0.00032760
10,1.169012,1.118825,35.38,46.43,34.47,0.00028953
11,1.146789,1.156303,36.92,28.57,21.65,0.00025050
12,1.147462,1.150242,40.00,39.29,33.90,0.00021147
13,1.118552,1.129333,41.54,46.43,41.31,0.00017340
14,1.094752,1.125620,40.00,35.71,32.05,0.00013723
15,1.089716,1.123904,44.62,25.00,17.95,0.00010385
16,1.115898,1.117576,42.31,21.43,27.35,0.00007408
17,1.091994,1.118424,39.23,28.57,34.76,0.00004865
18,1.141206,1.117440,46.92,21.43,23.65,0.00002819
19,1.135848,1.110927,36.15,17.86,19.94,0.00001321
20,1.110035,1.111422,41.54,25.00,26.21,0.00000407
21,1.178240,1.125068,36.92,46.43,48.72,0.00050000
22,1.120519,1.097285,36.92,46.43,33.33,0.00049923
23,1.132977,1.118604,40.77,35.71,38.75,0.00049693
24,1.152051,1.102886,34.62,39.29,39.17,0.00049311
25,1.155776,1.095855,30.77,39.29,28.21,0.00048779
26,1.083686,1.131562,50.77,42.86,33.05,0.00048101
27,1.106280,1.175551,40.77,28.57,37.04,0.00047281
28,1.155348,1.151156,30.77,28.57,25.07,0.00046323
29,1.103445,1.148793,39.23,28.57,31.48,0.00045235
30,1.093418,1.111294,46.92,39.29,39.17,0.00044022
31,1.106700,1.156718,44.62,39.29,43.16,0.00042692
32,1.142545,1.095015,43.08,32.14,28.35,0.00041254
33,1.103559,1.111052,40.77,39.29,35.04,0.00039715
34,1.073663,1.097934,46.92,39.29,44.73,0.00038086
35,1.084775,1.100175,43.85,32.14,36.61,0.00036377
36,1.098027,1.096288,44.62,42.86,43.16,0.00034598
37,1.095072,1.095839,40.00,35.71,42.17,0.00032760
38,1.117623,1.097884,38.46,35.71,41.74,0.00030874
39,1.117141,1.102891,40.77,39.29,35.04,0.00028953
40,1.049110,1.078937,51.54,42.86,44.30,0.00027008
41,1.089756,1.093232,45.38,50.00,48.01,0.00025050
